entry-demo-1,entry-demo-2,entry-demo-3,entry-demo-4,entry-demo-5,entry-ai-1,entry-ai-2,entry-ai-3,entry-ai-4,entry-ai-5,entry-ai-6,entry-ai-7,entry-ai-8,entry-ai-9,entry-ai-10,entry-date
Man,30-39,India,Professional,Advanced,No,,,,,,,,,,25/07/2024 10:03:22
Man,30-39,United Kingdom,Professional,Intermediate,Yes,3.0,3.0,4.0,4.0,,4.0,2.0,4.0,4.0,09/10/2024 12:42:34
Man,30-39,India,Professional,Advanced,Yes,4.0,3.0,3.0,5.0,5.0,4.0,3.0,4.0,3.0,09/10/2024 12:43:40
Man,30-39,United Kingdom,Professional,Advanced,Yes,4.0,5.0,3.0,5.0,2.0,2.0,3.0,3.0,3.0,09/10/2024 12:45:20
Man,30-39,United Kingdom,Professional,Intermediate,Yes,3.0,3.0,2.0,4.0,4.0,1.0,2.0,3.0,2.0,09/10/2024 12:49:57
Man,20-29,United Kingdom,Professional,Advanced,Yes,1.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,09/10/2024 12:57:22
Man,30-39,South Africa,Professional,Advanced,No,,,,,,,,,,09/10/2024 13:32:33
Man,40-49,India,Professional,Advanced,No,,,,,,,,,,09/10/2024 14:12:26
Woman,30-39,Germany,Professional,Advanced,Yes,5.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0,4.0,09/10/2024 16:02:26
Man,30-39,United Kingdom,Professional,Intermediate,Yes,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,09/10/2024 20:42:28
Man,40-49,United Kingdom,Professional,Advanced,Yes,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,10/10/2024 7:43:15
Man,30-39,India,Professional,Advanced,No,,,,,,,,,,10/10/2024 10:10:53
Woman,30-39,India,Professional,Advanced,No,,,,,,,,,,11/10/2024 9:39:39
Woman,20-29,India,Professional,Advanced,Yes,4.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,11/10/2024 10:36:07
Man,30-39,India,Professional,Advanced,Yes,3.0,3.0,2.0,4.0,4.0,2.0,4.0,3.0,2.0,11/10/2024 12:19:01
Man,20-29,India,Professional,Advanced,Yes,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,11/10/2024 13:13:02
Man,30-39,India,Professional,Advanced,Yes,3.0,4.0,4.0,5.0,5.0,4.0,2.0,3.0,4.0,11/10/2024 13:23:15
Man,40-49,United Kingdom,Professional,Advanced,No,,,,,,,,,,11/10/2024 13:26:37
Man,50-59,United Kingdom,Professional,Intermediate,Yes,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,11/10/2024 13:55:21
Man,40-49,United Kingdom,Professional,Intermediate,Yes,3.0,4.0,5.0,4.0,,4.0,3.0,4.0,4.0,11/10/2024 14:13:54
Man,30-39,India,Professional,Intermediate,No,,,,,,,,,,11/10/2024 14:23:51
Man,30-39,India,Professional,Advanced,Yes,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,11/10/2024 14:39:04
Man,40-49,United Kingdom,Professional,Advanced,No,,,,,,,,,,11/10/2024 15:10:17
