github,successors,unresponsives,incompletes,ai,codehealth,coverage,test_runs,measured_time,estimated_time,entry-demo-1,entry-demo-2,entry-demo-3,entry-demo-4,entry-demo-5,entry-ai-1,entry-ai-2,entry-ai-3,entry-ai-4,entry-ai-5,entry-ai-6,entry-ai-7,entry-ai-8,entry-ai-9,entry-ai-10,entry-date,exit-uninterrupted,exit-used-ai,exit-ai-text,exit-ai-frequency,exit-resemblance,exit-tools-text,exit-space-1,exit-space-2,exit-space-3,exit-space-4,exit-space-5,exit-space-6,exit-space-7,exit-space-8,exit-space-9,exit-space-10,exit-final-text,exit-date,email-text,gh-commits,gh-additions,gh-deletions,gh-changes,gh-changed-files,gh-adds-unit-test,gh-adds-behavioural-test,gh-adds-functional,gh-adds-sql,gh-adds-logging,gh-adds-exception-handling,gh-adds-dependency,clean_time,pp_mean
anon126,3,0,0,True,8.34,0.74,10.0,3290,,Man,40-49,United Kingdom,Professional,Beginner,Yes,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,20/11/2024 10:55:37,Yes,Yes,"Cursor, Tailwind AI",Every statement,5.0,,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,,,,2,233,67,300,11,True,False,True,False,False,False,False,3290.0,5.0
anon094,1,1,1,True,8.5,0.71,,6601,,Man,30-39,Canada,Professional,Advanced,Yes,5.0,5.0,5.0,5.0,5.0,4.0,1.0,3.0,4.0,24/11/2024 18:44:55,"Yes, but breaks",Yes,GitHub Copilot,Sometimes,5.0,,4.0,4.0,5.0,1.0,5.0,5.0,5.0,4.0,4.0,2.0,Copilot helped me to find misspelling even in original code and did some refactoring. But I would say that the most important is to be able to debug code. Without it it doesn't matter if you use or not AI,11/26/2024 21:05:27,,4,135,93,228,7,False,False,True,False,False,False,False,6601.0,4.5
anon082,0,1,0,True,8.37,0.7,2.0,5327,,Man,30-39,Bulgaria,Professional,Advanced,Yes,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,23/11/2024 19:12:42,Yes,Yes,ChatGPT,Often,2.0,,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,2.0,"I was not sure how much I should make the task better so I did the bare minimum. Also what slowed me down was understanding that the api was somewhere else and accessing H2 from IntelliJ instead of the browser console, which was unnecessary at the end.",12/3/2024 16:34:47,,1,78,62,140,3,False,False,True,False,False,False,False,5327.0,4.1
anon126,1,2,0,True,8.88,0.91,287.0,462632,10800.0,Man,40-49,United Kingdom,Professional,Beginner,Yes,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,20/11/2024 10:55:37,No,Yes,"Cursor, Tailwind AI",Every statement,5.0,,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,,11/26/2024 19:36:21,,82,10788,481,11269,88,True,True,True,False,True,True,True,10800.0,5.0
anon009,0,0,0,True,8.22,0.7,2.0,4411980,10800.0,Woman,20-29,United Kingdom,Student,Beginner,Yes,5.0,5.0,4.0,5.0,5.0,4.0,2.0,3.0,4.0,16/11/2024 18:34:05,No,Yes,"GitHub Copilot, ChatGPT",Every statement,3.0,,4.0,3.0,2.0,4.0,2.0,3.0,1.0,4.0,2.0,4.0,"I tried using AI for all parts, I found that AI was good at new features, but was terrible at bug-fixing, it completely overlooked things and it took me some time to realise that api call to retrieve the data doesn't overwrite the data, but appends it, so I would manually need to clear it after implementing the fix - AI didn't help with this at all.",1/29/2025 18:28:30,"This is very approximate and reductive, but I estimate I spent: - 24th Nov - 1.0 hr - Reading and setting up - 8th Dec - 1.0 hr - Adding new functionality - 5th Jan - 1.0 hr - Bug fixing I hope this is useful and I am happy to give more information if needed.",1,46,38,84,4,False,False,True,False,True,False,False,10800.0,2.5
anon047,2,1,0,True,8.34,0.71,3.0,13201,10800.0,Man,30-39,Germany,Professional,Advanced,Yes,5.0,4.0,4.0,2.0,5.0,3.0,2.0,2.0,3.0,16/11/2024 11:22:41,"Yes, but breaks",Yes,GitHub Copilot,Often,5.0,,5.0,4.0,4.0,2.0,5.0,4.0,2.0,4.0,5.0,1.0,I enjoyed it quite a bit and I'm looking forward to seeing what comes of it. Thank you for all the work you do.,11/25/2024 19:05:47,"As you can imagine, it is difficult to retrace my steps almost three months after the fact. I didn't start the task until I cloned the repository at 13:42 (GMT+1). I distinctly remember having scheduled an uninterrupted couple hours, in order to complete the task in one sitting, but running out of time and having to interrupt, most likely for a late lunch. Knowing my habits, I'd assume that I probably planned to be done by 4 o'clock, which would mean that the lunch break took place between my 16:13 and 17:09 commits. It would have taken about 30 minutes. So all in all, I worked on the problem from 13:42 to 17:09 with about a 30 minute break, most likely between 16:13 and 17:09. That comes out to a total of 2 hours and 57 minutes spent on-task.",4,544,278,822,9,False,False,True,False,False,False,True,10800.0,4.2
anon139,1,2,0,True,8.48,0.83,9.0,92586,,Man,30-39,United Kingdom,Professional,Beginner,Yes,4.0,3.0,4.0,5.0,4.0,2.0,3.0,3.0,4.0,15/11/2024 14:22:32,No,Yes,"GitHub Copilot, ChatGPT, VS IntelliCode, Claude",Every statement,4.0,,3.0,4.0,3.0,4.0,5.0,3.0,2.0,5.0,4.0,2.0,"I went a bit deep in trying to make it more maintainable, which is why I spent 7 hours on Saturday and 2 hours on Sunday.",1/6/2025 19:53:47,,29,2032,642,2674,30,True,False,True,False,True,False,True,,3.5
anon004,1,0,2,True,8.35,0.69,2.0,8024,,Man,20-29,Germany,Professional,Intermediate,Yes,5.0,4.0,4.0,5.0,5.0,3.0,2.0,5.0,5.0,15/11/2024 10:22:59,Yes,Yes,"GitHub Copilot, Cursor",Often,3.0,,4.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,"The AI suggested a great rework (three classes added) to get the details, and did not catch the one line that was missing.",,,3,79,83,162,8,False,False,True,False,False,False,False,8024.0,4.0
anon113,0,2,1,True,8.23,0.7,12.0,123318,25200.0,Man,60-69,Italy,Professional,Advanced,Yes,4.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,15/11/2024 08:01:27,Yes,Yes,"ChatGPT, Mixtral",Sometimes,4.0,SonarQube,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,I used generative AI (mostly example code snippets) to get introduced to new Java technologies I am not accustomed to. But the code I actually entered in the solution was generated manually by me.,11/26/2024 18:20:51,"I usually have a lot on my plate and can’t dedicate more than 4 hours to a single task in a row. So, my contributions to this task were made intermittently. If I recall correctly, I dedicated a total of 7.5 hours to this task.",1,22,8,30,2,False,False,False,False,True,False,False,25200.0,3.2
anon122,0,2,1,True,8.16,0.7,2.0,86012,,Man,30-39,Hungary,Professional,Beginner,Yes,4.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,15/11/2024 07:29:24,Yes,Yes,Claude,Every statement,3.0,SonarQube,3.0,4.0,2.0,2.0,5.0,1.0,1.0,2.0,5.0,2.0,,11/28/2024 7:33:12,,2,58,48,106,3,False,False,True,False,False,True,False,,3.1
