github,predecessor,treatment,codehealth,codehealth_diff,coverage,coverage_diff,test_runs,measured_time,estimated_time,entry-demo-1,entry-demo-2,entry-demo-3,entry-demo-4,entry-demo-5,entry-ai-1,entry-ai-2,entry-ai-3,entry-ai-4,entry-ai-5,entry-ai-6,entry-ai-7,entry-ai-8,entry-ai-9,entry-ai-10,entry-date,exit-uninterrupted,exit-used-ai,exit-ai-text,exit-ai-frequency,exit-resemblance,exit-tools-text,exit-space-1,exit-space-2,exit-space-3,exit-space-4,exit-space-5,exit-space-6,exit-space-7,exit-space-8,exit-space-9,exit-space-10,exit-final-text,exit-date,email-text,gh-commits,gh-additions,gh-deletions,gh-changes,gh-changed-files,gh-adds-unit-test,gh-adds-behavioural-test,gh-adds-functional,gh-adds-sql,gh-adds-logging,gh-adds-exception-handling,gh-adds-dependency,clean_time,pp_mean
anon136,anon126,ai,8.42,0.08,0.73,-0.01,2.0,4773.0,,Man,20-29,Romania,Professional,Intermediate,Yes,3.0,1.0,4.0,5.0,4.0,1.0,5.0,1.0,1.0,14/11/2024 10:20:48,Yes,No,,,4.0,,4.0,4.0,1.0,5.0,5.0,4.0,1.0,2.0,3.0,1.0,"I was very confused about what i had to do during the entire experiment. Still unsure if I completed all the required tasks or not. The mentions of 3 hours and multiple sittings got me even more confused since it probably took me less than 5 mins for the actual code changes. I expected having to write a consideable amount of code to be able to compare the use of Ai or not. I had and still have a constant feeling that I missed a lot when implementing the task. unsure if this was intended, just my experience. Feel free to contact me for more info :)",12/2/2024 19:24:45,,2.0,14.0,3.0,17.0,2.0,False,False,False,False,False,False,False,4773.0,3.0
anon106,anon126,ai,8.07,-0.27,0.75,0.01,,15671.0,,Woman,40-49,United States,Professional,Advanced,No,,,,,,,,,,14/11/2024 18:16:57,Yes,No,,,4.0,,5.0,4.0,3.0,1.0,4.0,5.0,5.0,5.0,5.0,2.0,"Fun! But going through Github with a shared private repo actually made it a bit harder. Created a separate account for security, and then couldn't use my preferred Git client to upload commits. Added nearly an hour to the entire task, at start & finish. Github Actions were handy - haven't actually used those.",12/16/2024 16:07:14,,5.0,164.0,62.0,226.0,5.0,False,False,True,False,False,False,False,15671.0,4.5
anon037,anon126,ai,8.43,0.09,0.73,-0.01,4.0,6327.0,,Man,40-49,United Kingdom,Professional,Intermediate,Yes,2.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,5.0,14/11/2024 09:49:33,Yes,No,,,4.0,,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,"I work as a cloud data architect now, and haven't really done any Java in a while, it was fun to work it out. I will be interested in seeing the results. Also, I think I could go back to the codebase and make more changes as i felt like I got familiar with the layout through the task",12/2/2024 17:28:52,,1.0,29.0,1.0,30.0,4.0,True,False,False,False,False,False,False,6327.0,3.9
anon005,anon094,ai,8.64,0.14,0.71,0.0,6.0,391708.0,5400.0,Man,50-59,France,Professional,Beginner,No,,,,,,,,,,14/11/2024 08:54:51,Yes,No,,,2.0,,5.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,5.0,3.0,,1/18/2025 10:41:46,"I probably spent 1,5 hour in total for the task. I first took time to download the code and run the tests (less than 1 hour) Then (and indeed few days later), I read the exact requirements and modified the code (also less than 1 hour) The first step took me more time than the second.",1.0,30.0,0.0,30.0,3.0,False,False,False,False,False,False,False,5400.0,3.8
anon050,anon126,ai,8.84,-0.04,0.9,-0.01,9.0,94967.0,19800.0,Man,40-49,Netherlands,Professional,Beginner,No,,,,,,,,,,14/11/2024 19:25:45,No,No,,,5.0,SonarQube,5.0,5.0,5.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,,12/6/2024 8:53:16,I spent around 5.5 hours in total. That time included familiarizing myself with the codebase and testing existing functionality before I started development. I would like to say that I really enjoyed it as it's been quite some time since I last wrote code for a project. Thank you very much for the opportunity and I hope you manage to get some interesting results out of it.,7.0,273.0,41.0,314.0,9.0,False,False,True,False,False,False,False,19800.0,4.4
anon143,anon047,ai,8.66,0.32,0.72,0.01,5.0,9746.0,9746.0,Man,40-49,Finland,Professional,Intermediate,Yes,2.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,14/11/2024 06:18:32,"Yes, but breaks",No,,,5.0,,4.0,4.0,5.0,2.0,3.0,4.0,4.0,5.0,3.0,2.0,"Readme instructions regarding whether it was required to add new acceptance tests, or not to touch the acceptance tests at all, was bit unclear",12/2/2024 17:39:04,"I recall scheduling it to one single evening, when I knew I’d had the time to finish it. And then I recall using around 2-4 hours (maybe) to complete it.",4.0,264.0,38.0,302.0,4.0,True,False,True,False,False,False,False,9746.0,4.0
anon098,anon047,ai,8.62,0.28,0.71,0.0,31.0,93246.0,16200.0,Man,50-59,Canada,Professional,Beginner,Yes,2.0,3.0,3.0,4.0,5.0,3.0,2.0,3.0,2.0,14/11/2024 20:03:45,No,No,,,5.0,,5.0,5.0,4.0,2.0,5.0,3.0,5.0,5.0,5.0,2.0,"I left a comment on the controller. The gist of it is I'd attempt to refactor the DB query if I was more familiar with Java. However, I usually don't do deeper refactorings when starting with a new code base (respecting the current conventions and asking more experienced devs what they think about my ideas before implementing them).",12/2/2024 17:19:51,"As well as I can remember, I spent ~2 hrs on the first day setting up maven, familiarizing myself with Java dev tooling, reading the instructions and the code. Then, on the following day, I think I spent ~1.5 hrs on coding the solution (majority of the time spent on being baffled by the failing test where I missed ""per-portion"" part). Then maybe another 1h documenting other things I'd probably fix/refactor if I knew Java (esp. hibernate) API better. Does this answer your question?",7.0,79.0,2.0,81.0,4.0,False,False,False,False,False,False,False,16200.0,4.5
anon027,anon139,ai,8.66,0.18,0.72,-0.11,2.0,88591.0,14400.0,Man,30-39,Germany,Professional,Advanced,No,,,,,,,,,,03/01/2025 13:09:13,Yes,No,,,4.0,,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,"From beginning to end I was confused. The task seemed too trivial and I was wondering if I was missing something. When I completed it I took a look at the code and decided it was good enough quality except for one thing: I refactored the structure of part of the code, including tests, to make it easier for my brain but I did not apply this change to the whole code base. This will undoubtly create problems for whoever comes next because part of the code is in the new format and part in the old. This is a typical legacy code problem though. So maybe it was ok to leave it like that. Not sure if that fits your expectations.",3/17/2025 10:49:05,"It was three sessions. Session one (20:30 to 22:30) was just to get the code into a workable state for me. This continued into the second session, at the end of which I implemented feature 1 (8:30 to 10). Last session was about feature 2 (20 to 20:45). These are based on the commit dates but they also fit my typical start-of-work and start-of-leasure-time slots.",10.0,606.0,237.0,843.0,16.0,True,False,True,False,False,False,False,14400.0,3.3
anon003,anon004,ai,8.32,-0.03,0.69,0.0,2.0,8057.0,,Man,20-29,United Kingdom,Professional,Intermediate,Yes,3.0,4.0,3.0,5.0,2.0,2.0,3.0,2.0,1.0,16/11/2024 12:37:45,Yes,No,,,3.0,SonarQube,5.0,4.0,5.0,2.0,4.0,4.0,3.0,5.0,4.0,1.0,,12/11/2024 14:19:57,,1.0,93.0,14.0,107.0,3.0,False,False,True,False,False,False,False,8057.0,4.3
anon052,anon118,ai,8.44,0.09,0.7,-0.01,4.0,9269.0,,Man,30-39,Canada,Professional,Intermediate,No,,,,,,,,,,13/11/2024 21:26:57,Yes,No,,,5.0,,5.0,5.0,4.0,1.0,5.0,5.0,5.0,4.0,5.0,1.0,"- I didn't fully read & understand the setup instructions, so I spent more time fixing my laptop's broken devcontainers environment than doing the programming task
- I figure it may have been part of the experiment, but launching the web server, when I tried to reach it, it had no index page, so I ended up on a generic error page. Good thing google could point me it's a generic page.
I found the actual pages soon afterwards
- The programming task was quite simple and easy. That's probably as designed, and significant. (And I've never used Spring.)
I'm curious if the purported gains scale up in complex codebases or for complex tasks",12/3/2024 22:20:31,,1.0,19.0,1.0,20.0,2.0,False,False,True,False,False,False,False,9269.0,4.8
